slug,title,field,current_value,jkm_value,reason,confidence
aurora-home-care-centre,Aurora Home Care Centre,licence_number,,B/PJB WT 006/2025,fill_empty,high
aurora-home-care-centre,Aurora Home Care Centre,validity_date,,11.07.2025 - 10.07.2030,fill_empty,high
berniece-care-service-centre,Berniece Care Service Centre,licence_number,,W/PJB WT 004/2021,fill_empty,high
berniece-care-service-centre,Berniece Care Service Centre,validity_date,,18.05.2021 - 17.05.2026,fill_empty,high
blissful-senior-care-centre-licensed-and-certified-by-gover,Blissful Senior Care Centre,licence_number,,J/PJBWE 045/2025,fill_empty,high
blissful-senior-care-centre-licensed-and-certified-by-gover,Blissful Senior Care Centre,validity_date,,25.06.2025 - 24.06.2030,fill_empty,high
magna-resort-sdn-bhd,Magna Resort Sdn. Bhd.,licence_number,,J/PJB WT 041/2023,fill_empty,medium
magna-resort-sdn-bhd,Magna Resort Sdn. Bhd.,validity_date,,22.11.2023 - 21.11.2028,fill_empty,medium
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),licence_number,,B/PJBWT 014/2022,fill_empty,medium
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),longitude,"De Luxe Retirement Nursing Home Petaling Jaya (House 39) is a nursing home located in Kampung Tunku, Selangor. It holds a 4.9/5 rating on Google Maps from 9 reviews.",101.620586,fix_invalid,medium
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),validity_date,,04.11.2022 - 03.11.2027,fill_empty,medium
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),licence_number,,B/PJBWT 015/2022,fill_empty,high
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),longitude,"De Luxe Retirement Nursing Home Petaling Jaya (House 39) is a nursing home located in Kampung Tunku, Selangor. It holds a 4.9/5 rating on Google Maps from 9 reviews.",101.61593,fix_invalid,high
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),validity_date,,04.11.2022 - 03.11.2027,fill_empty,high
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),licence_number,,B/PJBWT 016/2022,fill_empty,medium
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),longitude,"De Luxe Retirement Nursing Home Petaling Jaya (House 39) is a nursing home located in Kampung Tunku, Selangor. It holds a 4.9/5 rating on Google Maps from 9 reviews.",101.61511,fix_invalid,medium
de-luxe-retirement-nursing-home-petaling-jaya-house-39,De Luxe Retirement Nursing Home Petaling Jaya (House 39),validity_date,,04.11.2022 - 03.11.2027,fill_empty,medium
eha-elder-care-home-kluang-licensed-and-certified-by-govern,EHA Elder Care Home (Kluang),licence_number,,J/PJB WT 045/2023,fill_empty,high
eha-elder-care-home-kluang-licensed-and-certified-by-govern,EHA Elder Care Home (Kluang),validity_date,,22.11.2023 - 21.11.2028,fill_empty,high
evergreen-eldercare-centre-eecmsia,Evergreen ElderCare Centre EECMSIA,licence_number,,J/PJBWE002/26,fill_empty,medium
evergreen-eldercare-centre-eecmsia,Evergreen ElderCare Centre EECMSIA,validity_date,,26.01.2026 - 31.12.2030,fill_empty,medium
fcc-family-care-centre-johor-bahru,FCC Family Care Centre Johor Bahru,licence_number,,J/PJBWT066/2024,fill_empty,medium
fcc-family-care-centre-johor-bahru,FCC Family Care Centre Johor Bahru,validity_date,,05.12.2024 - 04.12.2029,fill_empty,medium
fu-ka-care-center,Fu Ka Care Center,licence_number,,J/PJBWE003/2026,fill_empty,medium
fu-ka-care-center,Fu Ka Care Center,validity_date,,13.01.2026 - 01.01.2031,fill_empty,medium
dementia-care-centre,Dementia Care Centre,licence_number,,W/PJH WE 004/2026,fill_empty,high
dementia-care-centre,Dementia Care Centre,latitude,,3.18893,fill_empty,high
dementia-care-centre,Dementia Care Centre,longitude,Dementia Care Centre is a care home located in Johor. The home accommodates up to 20 residents.,101.67349,fix_invalid,high
dementia-care-centre,Dementia Care Centre,google_maps_url,,"http://maps.google.com/?q=3.18893, 101.67349",fill_empty,high
dementia-care-centre,Dementia Care Centre,validity_date,,30.03.2026 - 29.03.2031,fill_empty,high
gentle-hill-elder-care,Gentle Hill Elder Care,licence_number,,J/PJBWE086/2025,fill_empty,medium
gentle-hill-elder-care,Gentle Hill Elder Care,validity_date,,14.11.2025 - 13.11.2030,fill_empty,medium
golden-age-care-centre,Golden Age Care Centre,licence_number,,J/PJB WT 030/2024,fill_empty,medium
golden-age-care-centre,Golden Age Care Centre,validity_date,,29.05.2024 - 28.05.2029,fill_empty,medium
golden-age-care-centre-batu-pahat,Golden Age Care Centre Batu Pahat,licence_number,,M/PJB WT 017 / 2021,fill_empty,high
golden-age-care-centre-batu-pahat,Golden Age Care Centre Batu Pahat,email,,goledenagecare01@gmail.com,fill_empty,high
golden-age-care-centre-batu-pahat,Golden Age Care Centre Batu Pahat,validity_date,,21.04.2021 - 20.04.2026,fill_empty,high
green-cottage-retirement-and-nursing-home,Green Cottage Retirement and Nursing Home,licence_number,,A/PJB WT 015/2021,fill_empty,low
green-cottage-retirement-and-nursing-home,Green Cottage Retirement and Nursing Home,validity_date,,23.03.2021 - 22.03.2026,fill_empty,low
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,licence_number,,B/PJB WT 014/2024,fill_empty,high
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,longitude,"Golden Years Senior Residence Kinrara Puchong is a nursing home located in Bandar Kinrara, Selangor. It holds a 4.7/5 rating on Google Maps from 14 reviews.",101.6390792,fix_invalid,high
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,validity_date,,24.05.2024 - 23.05.2029,fill_empty,high
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,licence_number,,B/PJB WT 001/2025,fill_empty,high
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,longitude,"Golden Years Senior Residence Kinrara Puchong is a nursing home located in Bandar Kinrara, Selangor. It holds a 4.7/5 rating on Google Maps from 14 reviews.",101.5545856,fix_invalid,high
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,validity_date,,05.02.2025 - 04.02.2030,fill_empty,high
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,licence_number,,B/PJB WT 017/2023,fill_empty,high
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,longitude,"Golden Years Senior Residence Kinrara Puchong is a nursing home located in Bandar Kinrara, Selangor. It holds a 4.7/5 rating on Google Maps from 14 reviews.",101.54919608482679,fix_invalid,high
golden-years-senior-residence-kinrara-puchong,Golden Years Senior Residence Kinrara Puchong,validity_date,,06.10.2023 - 05.10.2028,fill_empty,high
green-cottage-retirement-and-nursing-home,Green Cottage Retirement and Nursing Home,licence_number,,A/PJB WT 024/2021,fill_empty,medium
green-cottage-retirement-and-nursing-home,Green Cottage Retirement and Nursing Home,validity_date,,30.04.2021 - 29.04.2026,fill_empty,medium
pusat-jagaan-warga-tua-hayati-care-centre,Pusat Jagaan Warga Tua Hayati Care Centre,licence_number,,J/PJBWT046/2024,fill_empty,medium
pusat-jagaan-warga-tua-hayati-care-centre,Pusat Jagaan Warga Tua Hayati Care Centre,longitude,"Pusat Jagaan Warga Tua Hayati Care Centre is a nursing home located in Batu Pahat, Johor. It holds a 4.9/5 rating on Google Maps from 15 reviews.",102.949307,fix_invalid,medium
pusat-jagaan-warga-tua-hayati-care-centre,Pusat Jagaan Warga Tua Hayati Care Centre,email,,hayaticarecentre@gmail.com,fill_empty,medium
pusat-jagaan-warga-tua-hayati-care-centre,Pusat Jagaan Warga Tua Hayati Care Centre,validity_date,,28.11.2024 - 27.11.2029,fill_empty,medium
jr-segamat-care-centre,JR Segamat Care Centre,licence_number,,M/PJB WE 019 / 2023,fill_empty,medium
jr-segamat-care-centre,JR Segamat Care Centre,email,,keeannmelaka@gmail.com,fill_empty,medium
jr-segamat-care-centre,JR Segamat Care Centre,validity_date,,26.06.2023 - 25.06.2028,fill_empty,medium
lilly-loving-hut-home-care,Lilly Loving Hut Home Care,licence_number,,J/PJB WT 049/2022,fill_empty,high
lilly-loving-hut-home-care,Lilly Loving Hut Home Care,validity_date,,15.11.2022 - 14.11.2027,fill_empty,high
nursing-home-johor-bahru-loving-mansion-care-centre,Loving Mansion Care Centre,licence_number,,J/PJBWE 091/2025,fill_empty,high
nursing-home-johor-bahru-loving-mansion-care-centre,Loving Mansion Care Centre,validity_date,,05.12.2025 - 04.12.2030,fill_empty,high
master-care-centre-taman-abad,Master Care Centre • Taman Abad,licence_number,,J/PJBWE006/2026,fill_empty,high
master-care-centre-taman-abad,Master Care Centre • Taman Abad,longitude,"Master Care Centre • Taman Abad is a nursing home located in Johor Bahru, Johor. It holds a 4.7/5 rating on Google Maps from 6 reviews.",103.75704038053992,fix_invalid,high
master-care-centre-taman-abad,Master Care Centre • Taman Abad,validity_date,,13.01.2026 - 12.01.2031,fill_empty,high
merry-care-centre-jln-antoi,Merry Care Kepong Baru 1,licence_number,,W/PJB WT 016/2023,fill_empty,low
merry-care-centre-jln-antoi,Merry Care Kepong Baru 1,validity_date,,04.07.2023 - 03.07.2028,fill_empty,low
my-aged-care-sdn-bhd,My Aged Care Sdn. Bhd,licence_number,,B/PJB WT 023/2023,fill_empty,high
my-aged-care-sdn-bhd,My Aged Care Sdn. Bhd,latitude,,3.096933361,fill_empty,high
my-aged-care-sdn-bhd,My Aged Care Sdn. Bhd,longitude,My Aged Care Sdn. Bhd is a care home located in Selangor. The home accommodates up to 20 residents.,101.6437519,fix_invalid,high
my-aged-care-sdn-bhd,My Aged Care Sdn. Bhd,google_maps_url,,"http://maps.google.com/?q=3.096933361	 ,101.6437519",fill_empty,high
my-aged-care-sdn-bhd,My Aged Care Sdn. Bhd,validity_date,,13.12.2023 - 12.12.2028,fill_empty,high
my-precious-home-care-elder-care,My Precious Home Care Elder Care,licence_number,,B/PJB WT 011/2025,fill_empty,high
my-precious-home-care-elder-care,My Precious Home Care Elder Care,validity_date,,24.10.2025 - 23.10.2030,fill_empty,high
noble-care-retirement-home,Noble Care Retirement Home,licence_number,,J/PJBWE003/2026,fill_empty,high
noble-care-retirement-home,Noble Care Retirement Home,longitude,"Noble Care Retirement Home is a nursing home located in Kampung Sungai Sekamat, Selangor. It holds a 4.8/5 rating on Google Maps from 4 reviews.",103.703532,fix_invalid,high
noble-care-retirement-home,Noble Care Retirement Home,validity_date,,01.01.2026 - 31.12.2030,fill_empty,high
noble-care,Noble Care,licence_number,,B/PJB WT 011/2021,fill_empty,high
noble-care,Noble Care,validity_date,,23.06.2021 - 22.06.2026,fill_empty,high
noble-care-retirement-home,Noble Care Retirement Home,licence_number,,B/PJB WT 008/2026,fill_empty,high
noble-care-retirement-home,Noble Care Retirement Home,longitude,"Noble Care Retirement Home is a nursing home located in Kampung Sungai Sekamat, Selangor. It holds a 4.8/5 rating on Google Maps from 4 reviews.",101.4446271,fix_invalid,high
noble-care-retirement-home,Noble Care Retirement Home,validity_date,,14.04.2026 - 13.04.2031,fill_empty,high
pusat-jagaan-beverly-care-home,Pusat Jagaan Beverly Care Home,licence_number,,B/PJB WT 002/2020,fill_empty,high
pusat-jagaan-beverly-care-home,Pusat Jagaan Beverly Care Home,latitude,,2.977490,fill_empty,high
pusat-jagaan-beverly-care-home,Pusat Jagaan Beverly Care Home,longitude,Pusat Jagaan Beverly Care Home is a care home located in Selangor. The home accommodates up to 23 residents.,101.787711,fix_invalid,high
pusat-jagaan-beverly-care-home,Pusat Jagaan Beverly Care Home,google_maps_url,,"http://maps.google.com/?q=2.977490 ,101.787711",fill_empty,high
pusat-jagaan-beverly-care-home,Pusat Jagaan Beverly Care Home,validity_date,,12.02.2020 - 11.02.2025,fill_empty,high
pusat-jagaan-en-yuan-cheras,Pusat Jagaan En Yuan (Cheras),licence_number,,W/PJB WT 008/2021,fill_empty,high
pusat-jagaan-en-yuan-cheras,Pusat Jagaan En Yuan (Cheras),validity_date,,13.12.2021 - 12.12.2026,fill_empty,high
caring-nursing-home,Caring Nursing Home,licence_number,,J/PJB WT 051/2021,fill_empty,medium
caring-nursing-home,Caring Nursing Home,validity_date,,28.11.2021 - 27.11.2026,fill_empty,medium
pusat-jagaan-impian-syimah-jalan-kemaman,Pusat Jagaan Impian Syimah (Jalan Kemaman),licence_number,,J/PJBWT056/2024,fill_empty,high
pusat-jagaan-impian-syimah-jalan-kemaman,Pusat Jagaan Impian Syimah (Jalan Kemaman),validity_date,,03.12.2024 - 02.12.2029,fill_empty,high
pusat-jagaan-impian-syimah-jalan-kemaman,Pusat Jagaan Impian Syimah (Jalan Kemaman),licence_number,,J/PJB WT 030/2020,fill_empty,high
pusat-jagaan-impian-syimah-jalan-kemaman,Pusat Jagaan Impian Syimah (Jalan Kemaman),validity_date,,12.10.2020 - 11.10.2025,fill_empty,high
pusat-jagaan-ler-lin,Pusat Jagaan Ler Lin,licence_number,,J/PJBWT022/2025,fill_empty,medium
pusat-jagaan-ler-lin,Pusat Jagaan Ler Lin,validity_date,,23.01.2025 - 22.01.2030,fill_empty,medium
love-and-care-centre-kajang,Love and Care Centre Kajang,licence_number,,B/PJBWT 005/2023,fill_empty,high
love-and-care-centre-kajang,Love and Care Centre Kajang,longitude,"Love and Care Centre Kajang is a care home located in Taman Sakap, Selangor. It holds a 3.8/5 rating on Google Maps from 18 reviews.",101.813929,fix_invalid,high
love-and-care-centre-kajang,Love and Care Centre Kajang,validity_date,,10.04.2023 - 09.04.2028,fill_empty,high
miriam-home-prefer-donation-address,Miriam Home- prefer donation address,licence_number,,J/PJB WT 032/2021,fill_empty,medium
miriam-home-prefer-donation-address,Miriam Home- prefer donation address,validity_date,,15.06.2021 - 14.06.2026,fill_empty,medium
pusat-jagaan-murni-bahagia,Pusat Jagaan Murni Bahagia,licence_number,,J/PJB WT 022/2022,fill_empty,high
pusat-jagaan-murni-bahagia,Pusat Jagaan Murni Bahagia,validity_date,,18.07.2022 - 17.07.2027,fill_empty,high
pusat-jagaan-rumah-nur-hasanah,Pusat Jagaan Rumah Nur Hasanah,licence_number,,B/PJBWT 014/2023,fill_empty,high
pusat-jagaan-rumah-nur-hasanah,Pusat Jagaan Rumah Nur Hasanah,validity_date,,04.08.2023 - 03.08.2028,fill_empty,high
pusat-jagaan-pawana-sutera,Pusat Jagaan Pawana Sutera,licence_number,,J/PJB WT 25/2024,fill_empty,medium
pusat-jagaan-pawana-sutera,Pusat Jagaan Pawana Sutera,fax,,07-7720889,fill_empty,medium
pusat-jagaan-pawana-sutera,Pusat Jagaan Pawana Sutera,validity_date,,15.05.2024 - 14.05.2029,fill_empty,medium
ampang-old-folks-home,Ampang Old Folks Home,licence_number,,B/PJB WT 006/2026,fill_empty,medium
ampang-old-folks-home,Ampang Old Folks Home,longitude,"Ampang Old Folks Home is a retirement home located in Kampung Baru Ampang, Selangor. It holds a 4.5/5 rating on Google Maps from 4 reviews.",101.7648,fix_invalid,medium
ampang-old-folks-home,Ampang Old Folks Home,validity_date,,30.03.2026 - 29.03.2031,fill_empty,medium
pusat-jagaan-chik-sin-thong-klang-dan-pantai-selangor,Pusat Jagaan Chik Sin Thong Klang Dan Pantai Selangor,licence_number,,B/PJBWT 009/2022,fill_empty,high
pusat-jagaan-chik-sin-thong-klang-dan-pantai-selangor,Pusat Jagaan Chik Sin Thong Klang Dan Pantai Selangor,validity_date,,27.07.2022 - 26.07.2027,fill_empty,high
pusat-jagaan-selangor-king-george-v-silver-jubilee-fund,Pusat Jagaan Selangor King George V Silver Jubilee Fund,licence_number,,W/PJB WT 006/2022,fill_empty,high
pusat-jagaan-selangor-king-george-v-silver-jubilee-fund,Pusat Jagaan Selangor King George V Silver Jubilee Fund,email,,ksmanagamentkl@gmail.com,fill_empty,high
pusat-jagaan-selangor-king-george-v-silver-jubilee-fund,Pusat Jagaan Selangor King George V Silver Jubilee Fund,validity_date,,27.06.2022 - 26.06.2027,fill_empty,high
pusat-sri-kenangan-3,Pusat Sri Kenangan,licence_number,,J/PJB WT 016/2023,fill_empty,high
pusat-sri-kenangan-3,Pusat Sri Kenangan,validity_date,,17.04.2023 - 16.04.2028,fill_empty,high
rumah-orang-tua-bukit-siput,Rumah Orang Tua Bukit Siput,licence_number,,J/PJB WT 002/2023,fill_empty,low
rumah-orang-tua-bukit-siput,Rumah Orang Tua Bukit Siput,validity_date,,02.01.2023 - 01.01.2028,fill_empty,low
pusat-jagaan-vr-melodies-old-folks-home,Pusat Jagaan V.R Melodies Old Folks Home,licence_number,,J/PJBWE018/2026,fill_empty,high
pusat-jagaan-vr-melodies-old-folks-home,Pusat Jagaan V.R Melodies Old Folks Home,validity_date,,27.02.2026 - 26.02.2031,fill_empty,high
pusat-jagaan-warga-emas-barakah,Pusat Jagaan Warga Emas Barakah,licence_number,,B/PJB WT 013/2025,fill_empty,high
pusat-jagaan-warga-emas-barakah,Pusat Jagaan Warga Emas Barakah,longitude,"Pusat Jagaan Warga Emas Barakah is a nursing home located in Saujana Rawang, Selangor. It holds a 3.7/5 rating on Google Maps from 3 reviews.",101.51304,fix_invalid,high
pusat-jagaan-warga-emas-barakah,Pusat Jagaan Warga Emas Barakah,validity_date,,14.11.2025 - 13.11.2030,fill_empty,high
happy-family-nursing-home-taman-desa-jaya-pusat-jagaan-warga-emas-desa-jaya,Happy Family Nursing Home (Taman Desa Jaya) (Pusat Jagaan Warga Emas Desa Jaya),licence_number,,B/PJB WT 021/2023,fill_empty,high
happy-family-nursing-home-taman-desa-jaya-pusat-jagaan-warga-emas-desa-jaya,Happy Family Nursing Home (Taman Desa Jaya) (Pusat Jagaan Warga Emas Desa Jaya),longitude,"Happy Family Nursing Home (Taman Desa Jaya) (Pusat Jagaan Warga Emas Desa Jaya) is a nursing home located in Taman Desa Jaya, Kuala Lumpur. It holds a 5.0/5 rating on Google Maps from 1 reviews.",101.630336,fix_invalid,high
happy-family-nursing-home-taman-desa-jaya-pusat-jagaan-warga-emas-desa-jaya,Happy Family Nursing Home (Taman Desa Jaya) (Pusat Jagaan Warga Emas Desa Jaya),validity_date,,21.11.2023 - 20.11.2028,fill_empty,high
jeta-care,Jeta Care,licence_number,JKM licensed (see jetacare.com) + MOH CKAPS (valid Feb 2028),J/PJB WT 010/2022,jkm_authoritative,medium
jeta-care,Jeta Care,latitude,,1.6603463107821237,fill_empty,medium
jeta-care,Jeta Care,longitude,,103.61087005922474,fill_empty,medium
jeta-care,Jeta Care,validity_date,,24.02.2022 - 23.02.2027,fill_empty,medium
pusat-jagaan-warga-emas-semenyih,Pusat Jagaan Warga Emas Semenyih,licence_number,,B/PJB  WT 009/2019,fill_empty,high
pusat-jagaan-warga-emas-semenyih,Pusat Jagaan Warga Emas Semenyih,longitude,"Pusat Jagaan Warga Emas Semenyih is a welfare home located in Bandar Teknologi Kajang, Selangor. It holds a 1.0/5 rating on Google Maps from 1 reviews.",101.830544,fix_invalid,high
pusat-jagaan-warga-emas-semenyih,Pusat Jagaan Warga Emas Semenyih,validity_date,,31.12.2019 - 30.12.2024,fill_empty,high
happy-family-nursing-home-cheras-pusat-jagaan-warga-emas-taman-sri-bahtera,Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera),licence_number,,W/PJB WT 021/2023,fill_empty,high
happy-family-nursing-home-cheras-pusat-jagaan-warga-emas-taman-sri-bahtera,Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera),longitude,"Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera) is a nursing home located in Taman Sri Bahtera, Kuala Lumpur. It holds a 3.0/5 rating on Google Maps from 2 reviews.",101.63512,fix_invalid,high
happy-family-nursing-home-cheras-pusat-jagaan-warga-emas-taman-sri-bahtera,Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera),validity_date,,15.09.2023 - 14.09.2028,fill_empty,high
happy-family-nursing-home-cheras-pusat-jagaan-warga-emas-taman-sri-bahtera,Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera),licence_number,,W/PJB WT 005/2024,fill_empty,high
happy-family-nursing-home-cheras-pusat-jagaan-warga-emas-taman-sri-bahtera,Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera),longitude,"Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera) is a nursing home located in Taman Sri Bahtera, Kuala Lumpur. It holds a 3.0/5 rating on Google Maps from 2 reviews.",101.73631,fix_invalid,high
happy-family-nursing-home-cheras-pusat-jagaan-warga-emas-taman-sri-bahtera,Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera),validity_date,,09.02.2024 - 08.02.2029,fill_empty,high
pusat-jagaan-warga-istimewa-triple-one-tangkak,Pusat Jagaan Warga Istimewa Triple One Tangkak,licence_number,,J/PJBWE017/2026,fill_empty,high
pusat-jagaan-warga-istimewa-triple-one-tangkak,Pusat Jagaan Warga Istimewa Triple One Tangkak,validity_date,,26.02.2026 - 25.02.2031,fill_empty,high
pusat-jagaan-warga-tua-impresif,Pusat Jagaan Warga Tua Impresif,licence_number,,B/PJB WT 016/2021,fill_empty,high
pusat-jagaan-warga-tua-impresif,Pusat Jagaan Warga Tua Impresif,longitude,"Pusat Jagaan Warga Tua Impresif is a care home located in Pjs 7, Selangor. It holds a 4.8/5 rating on Google Maps from 4 reviews.",101.6453,fix_invalid,high
pusat-jagaan-warga-tua-impresif,Pusat Jagaan Warga Tua Impresif,validity_date,,22.10.2021 - 21.10.2026,fill_empty,high
pusat-warga-mas-penyayang,Pusat Warga Mas Penyayang,licence_number,,B/PJB WT 020/2021,fill_empty,high
pusat-warga-mas-penyayang,Pusat Warga Mas Penyayang,validity_date,,03.12.2021 - 02.12.2026,fill_empty,high
sam-ching-kong-old-folks-home-hulu-langat,"Sam Ching Kong Old Folks Home, Hulu Langat",licence_number,,B/PJBWT 013/2022,fill_empty,medium
sam-ching-kong-old-folks-home-hulu-langat,"Sam Ching Kong Old Folks Home, Hulu Langat",validity_date,,18.10.2022 - 17.10.2027,fill_empty,medium
sincere-heart-care-centre,Sincere Heart Care Centre 爱馨养老院,licence_number,,J/PJB WT 042/2024,fill_empty,high
sincere-heart-care-centre,Sincere Heart Care Centre 爱馨养老院,validity_date,,08.10.2024 - 07.10.2029,fill_empty,high
stella-maris-home-plt-care-centre,Stella Maris Home Plt Care Centre,licence_number,,B/PJB WT 002/2024,fill_empty,high
stella-maris-home-plt-care-centre,Stella Maris Home Plt Care Centre,validity_date,,05.01.2024 - 04.01.2029,fill_empty,high
synergy-care-centre,Synergy Care Centre,licence_number,,B/PJBWT 008/2022,fill_empty,high
synergy-care-centre,Synergy Care Centre,longitude,"Synergy Care Centre is a nursing home located in USJ Sentral, Selangor. It holds a 4.8/5 rating on Google Maps from 127 reviews.",101.5951161,fix_invalid,high
synergy-care-centre,Synergy Care Centre,validity_date,,12.05.2022 - 11.05.2027,fill_empty,high
stella-maris-home-plt-care-centre,Stella Maris Home Plt Care Centre,licence_number,,B/PJB WT 018/2023,fill_empty,low
